Gene_id,E1,C1,E2,C2,mean_E,mean_C,log10Sum,log2FC,desc,Log10signal_Q,t,prob,-log10pvalue
Tb927.10.4440,819607.2942020027,6639302.19937007,6875690.63489935,583218.858672723,3847648.9645506763,3611260.529021397,7.173705333117466,0.09147467750125995,predicted SAP domain protein,42,0.05520130960997816,0.9609964810658893,0.017278202608732994
Tb927.10.4450,34990.32459025388,993934.363702945,1026215.7658146858,2708.9224785128895,530603.0452024699,498321.6430907289,6.313413583589036,0.09055572094172568,"stress-inducible protein STI1-like, putative",32,0.046056925882017354,0.967450092358612,0.014371429587926256
Tb927.10.4460,213.10406775045746,76438.30588857291,59123.7854414981,17527.62451482526,29668.444754624277,46982.96520169909,5.18555014351216,-0.6632084664997028,"leucine carboxyl methyltransferase, putative",16,-0.4156534786432014,0.7180158097363983,0.1438659930756848
Tb10.v4.0041,15977.28984187401,1000.130768096705,14279.504367805408,2697.9162421653054,15128.397104839709,1849.023505131005,4.5309017039541555,3.032423668376744,"PUB domain containing protein, putative",2,11.061391754944685,0.008074129497423609,2.0929042894110292
Tb927.10.4330,2300.419757174506,166241.31283832277,166706.22187971824,1835.5107157790285,84503.32081844637,84038.4117770509,5.527737449784603,0.007959140556032853,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative",23,0.003999133017953213,0.9971721972304239,0.0012298388302542154
Tb927.10.4310,11207406.560138691,27833035.92723343,18267800.63107542,20772641.85629671,14737603.595607055,24302838.891765073,7.892544727013528,-0.7216228950299431,"prohibitin 2, putative",47,-1.9159391596568194,0.1954395626946049,0.7089875177882652
Tb10.v4.0052,779498.1278674804,1000416.2890955749,935743.8475969443,844170.5693661111,857620.9877322123,922293.429230843,6.55142911643678,-0.10488560766474504,microtubule-associated protein 2,35,-0.5853641561350047,0.6175520735666267,0.20932641570534305
Tb10.v4.0109,6303.291721463555,149478.89613167787,110005.06710405875,45777.12074908268,58154.17941276115,97628.00844038028,5.493547794576099,-0.7474122223406298,"variant surface glycoprotein (VSG, pseudogene), putative",22,-0.5383169590269621,0.6442534517755126,0.19094324591164516
Tb10.v4.0237,206.12411977523442,35514.829312338756,21651.721916003582,14069.231516110409,10928.923017889409,24792.03041422458,4.853953037839615,-1.181725191131107,"variant surface glycoprotein (VSG, pseudogene), putative /product",7,-0.9141920259261778,0.45712019843955676,0.3399695884305618
Tb927.10.6900,5782.009845989633,288168.1210632102,87721.45911010582,206228.67179909398,46751.73447804773,247198.39643115207,5.7693036535999696,-2.4025775898085744,base J-associated glucosyltransferase,26,-3.459559350377979,0.07435361749487411,1.1286978970836072
Tb927.11.13007,413481205.8235736,58619317.053136714,220875269.98034433,251225252.89636597,317178237.90195894,154922284.97475135,8.97506447709999,1.0337491036735889,ubiquitin-60S ribosomal protein L40,49,1.1913681071189786,0.3557214308383506,0.4488899694657002
Tb11.01.2730,10661.207879645715,186258.34932278004,70116.98164729339,126802.57555513234,40389.094763469555,156530.4624389562,5.595318846201835,-1.954405731240036,"hypothetical protein, conserved",24,-2.762535695206237,0.10985941817746181,0.9591627053600531
Tb927.11.7213,183.42541178996436,64256.54005747851,47790.82431363705,16649.141155631423,23987.124862713506,40452.840606554964,5.110185294690644,-0.7539807684159884,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative",14,-0.4891264605136267,0.673133524075632,0.17189877973221138
Tb11.02.5360b,1213.1583102408385,14310.721666407848,11502.819133122108,4021.0608435265785,6357.988721681473,9165.891254967213,4.492030271983912,-0.5277047122301773,"hypothetical protein, conserved",2,-0.3859188279135647,0.7367402315319775,0.1326856137676656
Tb11.02.5390b,201114.0763889568,359717.59050768224,330968.71290383016,229862.95399280888,266041.3946463935,294790.27225024556,6.049862523393969,-0.14803817891582513,"mRNA processing protein, putative",29,-0.31309665716645346,0.7838413427675953,0.10577183391441124
Tb11.02.5430b,2816.0961219625888,322652.94117135165,143052.7748561874,182416.26243712683,72934.435489075,252534.60180423924,5.8135396749821435,-1.7918090377021154,"hypothetical protein, conserved",26,-1.8111737478376382,0.21181394751648183,0.6740454458809958
Tb927.6.4980,75302140.20862523,551614879.2454987,277135406.5325584,349781612.92156553,176218773.37059182,450698246.0835321,9.098240055827839,-1.3547942065662153,40S ribosomal protein S14,49,-1.923233964220035,0.19436317042522822,0.7113860253995646
Tb927.11.7620,53799.96451231782,12272.522355814564,46506.79995456091,19565.686913571473,50153.38223343936,15919.10463469302,5.121050648965132,1.6555878020787682,"MSP-A, putative",14,6.638350100944786,0.0219480452082638,1.6586041539215897
Tb927.10.1140,3716831.2678225436,1667834.3274950634,1707894.7363916633,3676770.858925943,2712363.0021071034,2672302.593210503,7.032188733081117,0.021466892816148657,epsilon tubulin,41,0.0282009773277565,0.9800628612787613,0.008746067745310027
Tb927.10.1150,5965.530730140905,4560.87130450576,6317.256672699123,4209.1453619475415,6141.393701420014,4385.008333226651,4.323309948661814,0.4859865073894996,"hypothetical protein, conserved",1,7.062043790078336,0.01946754407108259,1.7106888334646733
Tb11.0840,101.74772346188075,95543.55351107821,76557.25501674518,19088.04621779488,38329.501370103535,57315.79986443654,5.281693634972036,-0.5804776617439056,hypothetical protein,19,-0.35119354747003906,0.7589888840694831,0.11976458460865176
Tb927.11.715,709060.9612710666,54509635.719215065,20095273.20395853,35123423.47652761,10402167.082614798,44816529.59787133,8.043116147493613,-2.107146820765713,"dynein light chain LC8, putative",47,-2.510508891589086,0.12872897656451535,0.8903236835104281
Tb927.4.1100,49601427.164141685,611860524.3390751,313222875.62791276,348239075.87530404,181412151.3960272,480049800.10718954,9.12153486349598,-1.4039129839239308,"ribosomal protein L21E (60S), putative",49,-1.602060133967357,0.25030867491145514,0.601524098850063
Tb927.10.15250,3979.185230763756,2146287.665591696,1523018.9107969082,627247.9400255516,763499.048013836,1386767.8028086238,6.633522355415971,-0.8610279830850857,"paraflagellar rod component, putative",36,-0.5802581138591817,0.6204056049627413,0.20732428727140162
Tb927.11.1840,953886.1800843258,3156243.122360702,1117492.2540141763,2992637.0484308507,1035689.2170492511,3074440.0853957767,6.914885480424492,-1.5697325385636736,"hypothetical protein, conserved",39,-17.622995644720486,0.00320441775794169,2.4942508701964523
Tb11.1780.1-p1,1067028.9025310408,2756681.5092574325,1455216.2986461294,2368494.1131423446,1261122.6005885853,2562587.8111998886,6.883514989277294,-1.0228929070177974,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative",39,-4.741394929931169,0.0417185122355622,1.379671187767239
Tb11.1790.1-p1,1484156.3336804288,2716793.7205173583,3430943.243074914,770006.8111228731,2457549.7883776715,1743400.2658201158,6.92437751383248,0.495316810285722,"retrotransposon hot spot protein (RHS, pseudogene), putative",40,0.5187829933977195,0.6556060707237441,0.1833570336408664
Tb927.7.4650,9897.738631317134,68606.36600208304,78113.9664481955,390.1381852046653,44005.85253975631,34498.25209364385,5.195922360345953,0.351172139720694,J Biosynthesis Protein 2,17,0.19710526258665267,0.8619598156993855,0.06451298037808179
Tb927.7.4670,3283.7578939385126,1422524.9918425875,2349.422030711926,1423459.3277058143,2816.589962325219,1422992.159774201,6.455091271176758,-8.9807624455468,ribosomal RNA processing protein 4,34,-2149.5819981081104,2.1641722609914952e-07,6.664708173777769
Tb11.v5.0154,220.88498698088938,75729.05074654677,58001.88020369942,17948.055529828245,29111.382595340154,46838.553138187504,5.181557406376465,-0.6861131516733089,"WD domain, G-beta repeat, putative",16,-0.43387977154366697,0.7066941197421615,0.15076852234617472
Tb927.7.4750,6809.110243075674,492650.87134831015,365595.6862743936,133864.2953169923,186202.39825873464,313257.58333265124,5.999530692489686,-0.7504777799891684,"hypothetical protein, conserved",28,-0.5008079396082875,0.6661880166118792,0.17640318366246843
Tb927.7.4770,248.0004003326622,59552.83409502363,35841.04673606616,23959.787759290128,18044.52356819941,41756.31092715688,5.0777372400905145,-1.2104332067088182,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative",13,-0.9421371510276915,0.4455735670033354,0.35108058095168204
Tb927.7.4810,3340550.047027809,6816944.3206684785,5373336.514993008,4784157.852703283,4356943.281010409,5800551.086685881,7.307816585847358,-0.41287363904829033,"HD domain containing protein, putative",43,-1.0043208028522104,0.42099024247676575,0.3757279699306175
Tb927.7.4870,37586.3951178166,237.65253002643985,33421.6885332047,4402.359114638347,35504.04182551065,2320.0058223323936,4.878797997620449,3.9357829411284344,"hypothetical protein, conserved",8,11.268336152028093,0.0077837096327591625,2.1088133735673678
Tb927.7.4890,2676.661213917296,194787.2837266154,195929.01962920494,1534.9253113277482,99302.84042156112,98161.10451897157,5.596517804776673,0.016683502209894622,Present in the outer mitochondrial membrane proteome 34,24,0.008355180818133327,0.9940920980908082,0.002573378339333687
Tb927.7.4900,976829.3286985705,2318177.3394555305,1281046.3118483005,2013960.3563058006,1128937.8202734354,2166068.8478806657,6.818886293483114,-0.9401130718979641,5'-3' exoribonuclease A,38,-4.821311256243032,0.04042898965796136,1.3933071117817084
Tb927.7.4910,53.198171793300226,69984.79748767892,52686.85593682087,17351.139722651344,26370.027054307087,43667.96860516514,5.146363704656108,-0.7276763684614476,"hypothetical protein, conserved",15,-0.464778329706262,0.6877811345498069,0.16254974080432713
Tb927.7.4970,268.97258217879084,30633.047563491604,18249.977779427656,12652.042366242738,9259.475180803223,21642.54496486717,4.791016866980069,-1.2248678266654867,"glutamine synthetase, putative",6,-0.9739336060653123,0.43281420100760204,0.36369849809081517
Tb927.7.4990,342352.7317737021,8164.749770906699,98816.21768185674,251701.26386275206,220584.4747277794,129933.00681682938,5.845739678306265,0.7635632896703878,"hypothetical protein, conserved",27,0.5264119667917495,0.6511539657150873,0.18631631011915706
Tb927.7.5020,51210699.76717418,580559492.42844,380286477.0218149,251483715.17379928,215748588.39449453,416021603.8011196,9.101589127093277,-0.9473073286366515,"60S ribosomal protein L19, putative",49,-0.8606796189263148,0.4801174146885654,0.31865254113355673
Tb927.10.5950,2671102.176334691,10614260.661677873,2884738.531261949,10400624.306750616,2777920.3537983196,10507442.484214244,7.424403415636837,-1.9193344181840621,"Serine/threonine-protein kinase NEK17, putative",44,-51.16729795927862,0.0003817387941344239,3.4182337027116554
Tb11.v5.0195,35879.759781250425,63682.049017256504,57102.3102590164,42459.498539490516,46491.03502013341,53070.77377837351,5.299122773757976,-0.19096503894241104,"STAG domain containing protein, putative",19,-0.4384560563785062,0.703870511362339,0.1525072291722037
Tb11.v5.0196,127.80747595324505,124820.90345218063,79408.14972775892,45540.561200374956,39767.978601856084,85180.7323262778,5.3977617756167575,-1.0989199011413326,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative",21,-0.8100788972101558,0.5029562028895755,0.2984698313884427
Tb927.10.6060,107513.35438469241,2599024.8254459384,1844351.7986691343,862186.3811614964,975932.5765269133,1730605.6033037174,6.733444153517372,-0.8264235928739984,universal minicircle sequence binding protein 2,37,-0.6144894092695036,0.6014844622609645,0.22077558701321587
Tb927.10.6080,307.5687230712181,48988.2329960491,34544.0472304649,14751.754488655426,17425.80797676806,31869.99374235226,4.993839929791969,-0.8709731852277252,"proteasome subunit beta type-5, putative",11,-0.5966490800949097,0.6112841562484914,0.21375686045596454
Tb927.10.6140,1975.5597275783205,35871133.14562563,2431.359721911497,35870677.345631294,2203.4597247449087,35870905.24562846,7.855799009225384,-13.990756006453985,"phosphatidylinositolN- acetylglucosaminyltransferase subunit c, putative",46,-111290.05081378703,8.073973479133219e-11,10.092912681465835
Tb11.v5.0207,1832.0958258718522,9577.672073682836,8187.432846567418,3222.3350529872687,5009.764336219635,6400.003563335053,4.35830680564154,-0.35332996900748137,"neurobeachin/beige protein, putative",1,-0.30936127596810464,0.7863017637144647,0.10441075018824478
Tb927.5.291b,27410.583092967525,476.9405801038916,21618.47444781139,6269.04922526003,24514.528770389457,3372.994902681961,4.746439947618535,2.8615349864897928,"variant surface glycoprotein (VSG)-related, putative",5,5.1619618616936505,0.035540638782106594,1.4492747707611353
Tb927.5.295b,1969298.6336359098,5177572.127843354,3846506.317921933,3300364.443557331,2907902.4757789215,4238968.285700343,7.155145924388362,-0.5437342872896951,retrotransposon hotspot (RHS) protein 1,42,-1.0027720089575267,0.42158426194613763,0.37511561002872523
Tb927.5.309b,435764.20196124195,11570.705214422875,366405.1850825414,80929.72209312348,401084.69352189166,46250.21365377318,5.951662784742652,3.116374974737998,"invariant surface glycoprotein, putative",28,7.234989139259226,0.01857341984000176,1.7311081242139001
Tb927.5.390,5084352.253473054,550.9165000734503,1850818.1766265659,3234084.9933465607,3467585.21504981,1617317.954923317,7.007312682884053,1.1003280050488502,"75 kDa invariant surface glycoprotein, putative",41,0.809230084204868,0.5033484977841933,0.2981312231785678
Tb927.5.370,70539.87946206734,166.55083872576327,32782.91999867332,37923.51030211979,51661.399730370336,19045.030570422776,5.150488907581969,1.4396721291558854,"75 kDa invariant surface glycoprotein, putative",15,1.2216691247632319,0.3462873078524138,0.4605634259517648
Tb927.5.360,8962295.431957748,15881.55163803214,2029424.4468493597,6948752.53674642,5495859.9394035535,3482317.044192226,7.254218157905984,0.6582976801619977,75 kDa invariant surface glycoprotein,43,0.41073599623364804,0.7210909417462252,0.1420099599575046
Tb11.v5.0232,114577.94233572386,147030.20394623003,216654.23473346487,44953.91154848899,165616.08853459437,95992.0577473595,5.7186812591320235,0.7868558789075135,"hypothetical protein, conserved",25,0.9646044766470033,0.4365164511791957,0.3599993842110759
Tb927.10.5240,55345.93035540876,163404.99635008728,77181.556052312,141569.37065318407,66263.74320386037,152487.18350163568,5.640979897185673,-1.202396381805862,"cAMP binding protein, putative",24,-5.584376667570111,0.030602102462240145,1.5142487350745455
Tb927.10.5340,83041168.45666727,577012426.4986768,307816206.37960976,352237388.57573426,195428687.4181385,464624907.5372055,9.120609196430634,-1.2494242366703516,"40S ribosomal protein S18, putative",49,-1.6936976140672244,0.23240292591797326,0.6337584085449116
Tb927.10.5300,7062.507834881368,1522319.744108506,391798.47445861966,1137583.7774847676,199430.49114675052,1329951.7607966368,6.485546041679195,-2.7374160111750134,"eukaryotic translation initiation factor 6 (eIF-6), putative",34,-4.155573304259602,0.05331884573566141,1.2731192609096962
Tb927.10.5270,4206.387198898586,636534.8701673321,370952.7630167412,269788.4943494895,187579.5751078199,453161.68225841084,6.107712684802734,-1.2725231308253246,mitogen-activated protein kinase kinase 5,30,-1.024113236343309,0.41347983610014927,0.38354566454906575
Tb927.11.7310,2168.7976602756266,688033.7212108916,687972.4301633723,2230.0887077949546,345070.61391182395,345131.90495934326,6.140006535565628,-0.0002562270873309299,"RNA binding protein, putative",30,-0.00012638986809896288,0.9999106288675509,3.881512416573191e-05
Tb927.11.7290,61420.17174247943,60732.3912553018,65448.087081589234,56704.475916192,63434.12941203434,58718.4335857469,5.387932579409917,0.11144577892186096,"pantothenate kinase subunit, putative",21,1.6556954235874766,0.23962036179892515,0.620476280434707
Tb927.11.7270,365.6600363856842,29514.257010445126,21982.058791215084,7897.858255615723,11173.859413800385,18706.057633030425,4.776409383112776,-0.7433779636406357,"proteasome beta 3 subunit, putative",5,-0.4927803653574703,0.6709552423572187,0.17330644949657736
Tb927.7.4500,877801.6129308048,27587940.56555716,22527684.337696858,5938057.840791104,11702742.975313831,16762999.203174133,7.755352507184811,-0.518433577358171,"PX domain containing protein, putative",46,-0.33054603932503696,0.7724028450563385,0.11215613521631855
Tb927.7.4520,3345.4290652004693,200904.4771889263,152447.51948613848,51802.38676798831,77896.47427566948,126353.43197845732,5.61119186153759,-0.6978349148216832,"Thioredoxin-like, putative",24,-0.4596078202603034,0.690920975647155,0.16057162238408554
Tb927.7.4570,5166.871582101508,1276582.000377066,483284.2172830088,798464.6546761583,244225.54443255515,1037523.3275266122,6.408832939562941,-2.086857764154375,inosine-guanine nucleoside hydrolase,33,-2.3464793610603283,0.14352742741734112,0.8430650993633793
Tb927.10.6350,375441.7537024302,11740.860390416228,169613.7753098714,217568.83878297498,272527.7645061508,114654.84958669561,5.888945843336851,1.2491058375869224,trypanin,27,1.0847214220053718,0.3913949584944836,0.40738477273046403
Tb927.10.6310,33104067.80491746,27511386.28833319,25388636.428833812,35226817.664416835,29246352.116875634,31369101.976375014,8.08361335863842,-0.10108753953206216,"major vault protein, putative",47,-0.38909316854729536,0.7347266143016354,0.1338742282446471
Tb927.10.6290,550.0860678311086,35943.44317797669,23466.81671314953,13026.712532658268,12008.451390490318,24485.07785531748,4.863245861162444,-1.027852670265807,"ATP-dependent DEAD/H RNA helicase, putative",8,-0.7699446588742017,0.5218394262173028,0.28246311200894025
Tb927.11.12770,20976.604790323567,57811.34272614319,25309.168619265078,53478.77889720167,23142.88670479432,55645.06081167243,5.197489782602414,-1.265684807406676,"ubiquitin ligase, putative",17,-10.60919521173871,0.008767867270009022,2.0571060332596804
Tb927.11.12750,3274.2450108003254,5740099.941836143,3383815.4640261265,2359558.722820817,1693544.8545184634,4049829.3323284797,7.060197107607511,-1.2578149133543877,cleavage and polyadenylation specificity factor 30 kDa subunit,41,-0.9857266187390997,0.42818288917215686,0.3683706917510405
Tb927.10.15950,123.9090871263076,56328.54020195625,42280.59800697468,14171.851282107866,21202.253547050495,35250.19574203206,5.05271278496584,-0.7334136544851494,TATA-box-binding protein,12,-0.4712606915915172,0.683859073161236,0.16503338666336526
Tb11.v5.0325,1623022.984792169,5416073.239509346,2578060.211340443,4461036.012961071,2100541.598066306,4938554.6262352085,7.148546897704499,-1.2333275114764528,"retrotransposon hot spot (RHS) protein, putative",42,-4.202513161852255,0.052225565297579234,1.2821168504517113
Tb927.10.8440,11410040.66056386,1962727.494462425,7892826.888424489,5479941.266601794,9651433.774494175,3721334.3805321096,7.4272513109302745,1.374923249059633,glucose transporter 1B,44,2.3843950161893397,0.13990450256402706,0.8541683083298667
Tb927.1.1240,4877055.040531211,2631148.429272143,4353368.996182526,3154834.473620828,4615212.018356869,2892991.4514464857,7.176566029007999,0.6738348651743894,"cytidine triphosphate synthase, putative",42,4.650854666466659,0.04325372389161797,1.3639764963850547
Tb11.v5.0365,1150064.8168291645,285612.9876363716,586513.4821783595,849164.3222871765,868289.149503762,567388.654961774,6.458086981919243,0.6138382514913007,"hypothetical protein, conserved",34,0.7550999068607086,0.5289977347963597,0.27654618763881733
Tb11.v5.0366,3410820.9600392417,3946211.328914207,3397032.3052653125,3959999.983688136,3403926.632652277,3953105.6563011715,7.167732657766496,-0.2157865732980353,"hypothetical protein, conserved",42,-56.32575738160775,0.00031505084204211083,3.5016193553005492
Tb927.11.1180,220179.64619349706,3580194.9251549905,1974715.1356716752,1825659.435676812,1097447.390932586,2702927.1804159014,6.8808563991894065,-1.3003708627528168,"cdc2-related kinase 6, putative",39,-1.2940697443962672,0.32492554755472236,0.48821614052991036
Tb11.v5.0394,1599457.709354503,1219309.3615913547,408974.63624712336,2409792.4346987344,1004216.1728008132,1814550.8981450447,6.751089185057241,-0.8535426602100841,"hypothetical protein, conserved",38,-0.962622975942408,0.4373072117205248,0.3592133605590911
Tb927.10.540,5034365.703459998,16922744.509191334,15583642.856816107,6373467.355835228,10309004.280138053,11648105.932513282,7.642605177467416,-0.17619038787178687,"ATP-dependent RNA helicase SUB2, putative",45,-0.17951710725343786,0.8740727272359202,0.058452430382540894
Tb927.10.14490,54489.80417350793,155652.24625635176,150620.91672593245,59521.133703927284,102555.36044972019,107586.68998013952,5.623542961170096,-0.0690967050373138,"hypothetical protein, conserved",24,-0.07401739426251776,0.9477333363387963,0.02331384288119642
Tb927.1.1640,538.9054060973933,24331.176306830384,16531.355214285446,8338.72649864233,8535.13031019142,16334.951402736358,4.696707207850497,-0.9364770777999943,"hypothetical protein, conserved",4,-0.6897387770767406,0.5616387438977343,0.250542940620752
Tb927.10.15850,31459.00347793819,937508.450180333,828720.6163685131,140246.8372897581,430089.80992322566,538877.6437350456,6.287339185579556,-0.3253197852348258,Peroxisome biogenesis factor 12,32,-0.1929720778102759,0.8648009732834097,0.06308383028118422
Tb927.10.15390,1255621.6503969627,645782.559568836,527854.980487141,1373549.229478658,891738.3154420517,1009665.894523747,6.580104446825645,-0.17918566199400057,Flagellum attachment zone protein 7,35,-0.22915968621622146,0.840045987952895,0.07569693802445346
Tb927.11.3650,555581.9417905667,577330.5112566763,17304.34741933779,1115608.105627905,286443.14460495225,846469.3084422906,6.355226346279793,-1.56320894895794,"adenylosuccinate synthetase, putative",33,-1.4713534512014854,0.2790324553013054,0.5543452793840958
Tb927.6.180,52109.29917907106,236.79028780737627,39764.5024091036,12581.587057774832,45936.90079408733,6409.188672791104,5.019914238767833,2.8414398808410577,"receptor-type adenylate cyclase GRESAG 4, putative",12,4.528274350170924,0.04546769545354271,1.3422970576086928
Tb927.1.1560,13524227.892948095,19891913.505083904,17853888.630033523,15562252.76799848,15689058.261490809,17727083.13654119,7.824986295611228,-0.17619641383956725,"vesicular-fusion protein nsf, putative",46,-0.6656878203094915,0.5741110133183318,0.24100412187040254
Tb11.v5.0468,171.75779056530268,68181.65792547629,48730.77198132678,19622.643734714813,24451.264885946042,43902.150830095554,5.1357902174143995,-0.8443825221949574,"alpha tubulin, putative",15,-0.5664799247020522,0.6281597865361744,0.2019298696637883
Tb927.1.2390,992107103.2608844,1143176444.8810742,1081061552.8046958,1054221995.3372627,1036584328.0327902,1098699220.1091685,9.630485549599651,-0.08395900104969421,beta tubulin,49,-0.9875135336146503,0.42748586202903427,0.36907824384646937
Tb927.10.15370,1681.378368592773,96495.42323646872,73839.30276050667,24337.498844554822,37760.340564549726,60416.46104051177,5.293038875252047,-0.6780699025406044,"DNA-directed RNA polymerases I and III subunit RPAC1, putative",19,-0.4440342916994271,0.7004391658272209,0.15462957785546783
Tb11.v5.0493,55034.56918228651,1150.766688241495,44128.778777561085,12056.557092966925,49581.6739799238,6603.6618906042095,5.050652977042271,2.9084688197651447,"kinesin K39, putative",12,5.573194177124005,0.03071942401594118,1.5125869315130354
Tb927.10.3940,54940288.413086005,1022917102.690066,534339609.00289875,543517782.1002532,294639948.7079924,783217442.3951596,9.33359129978559,-1.410459843180178,"40S ribosomal protein S3A, putative",49,-1.4412888966812814,0.2862206513877432,0.5432990342374061
Tb927.10.6880,3813.8844681845185,177462.47227923002,131652.39294948886,49623.963797925666,67733.13870883669,113543.21803857785,5.5593711599154645,-0.7453077801727873,"glyceraldehyde 3-phosphate dehydrogenase, cytosolic",23,-0.5067740249095741,0.6626615118855617,0.1787082529808477
Tb11.v5.0524,2570.3111313321533,245092.578501168,245992.94698978498,1669.9426427151789,124281.62906055857,123381.26057194159,5.6948909314575,0.010489765972274518,"hypothetical protein, conserved",25,0.005230874783871429,0.9963012382701271,0.0016093299112516272
Tb927.10.16110,2204895.5385831255,13613850.163160667,2863944.572877315,12954801.128866477,2534420.05573022,13284325.646013573,7.500202040160198,-2.389997431741464,component of motile flagella 1,45,-23.067573866169763,0.001874019085257662,2.727225990513405
Tb927.9.3630,296.7154534447144,31608.309127536966,21703.360280182987,10201.66430079869,11000.037866813851,20904.986714167826,4.804889079221375,-0.9263386363713558,"BSD domain containing protein, putative",6,-0.6543628442437281,0.5800696800281304,0.23651983430934784
Tb927.10.5620,476452652.89292216,6689595691.305979,3414650834.370265,3751397509.828636,1945551743.6315937,5220496600.567307,10.156309729377968,-1.4240076993739226,"fructose-bisphosphate aldolase, glycosomal",49,-1.5762964737707963,0.25566113863212786,0.5923352812042593
Tb927.8.5010,8205909.336815702,13604024.190119483,19387555.58068484,2422377.946250338,13796732.45875027,8013201.06818491,7.639684337587054,0.7838760450671776,Paraflagellar rod protein 2-5,45,0.7314798154549611,0.54058201542347,0.2671384069026838
