[Input ID],Gene_desc,Score,Ratio H/L normalized,Intensity,logint,logRatio,[source_id],[Product Description],[# TM Domains],[SignalP Peptide]2
Tb927.10.3100,"gene_product=glycerol-3-phosphate acyltransferase, putative",3.8044,4.0836,330520,12.70842245,2.029841557,Tb927.10.3100:mRNA,"glycerol-3-phosphate acyltransferase, putative",3,0
Tb927.10.12240,"gene_product=3-ketoacyl-CoA reductase, putative",14.196,3.9383,2586000,14.76562284,1.977573013,Tb927.10.12240:mRNA,"3-ketoacyl-CoA reductase, putative",1,0
Tb927.2.3080,gene_product=cytochrome b5-dependent oleate desaturase,10.788,3.8815,1335000,14.10444185,1.956614288,Tb927.2.3080:mRNA,cytochrome b5-dependent oleate desaturase,6,0
Tb927.5.2280,"gene_product=acetyltransferase, putative",4.401,3.8724,479450,13.08039489,1.953227984,Tb927.5.2280:mRNA,"acetyltransferase, putative",4,1
Tb927.10.6950,"gene_product=sterol 24-c-methyltransferase, putative",28.278,3.8485,3334000,15.01968334,1.944296247,Tb927.10.6950:mRNA,"sterol 24-c-methyltransferase, putative",0,0
Tb927.9.12700,"gene_product=phospholipase A1, putative",4.4294,3.5663,1207100,14.00373135,1.834428069,Tb927.9.12700:mRNA,"phospholipase A1, putative",2,1
Tb927.10.1500,"gene_product=methionyl-tRNA synthetase, putative",1.6979,3.4907,590430,13.28860636,1.803516373,Tb927.10.1500:mRNA,"methionyl-tRNA synthetase, putative",0,0
Tb927.11.7290,"gene_product=pantothenate kinase subunit, putative",22.041,3.4113,964850,13.77972793,1.770321635,Tb927.11.7290:mRNA,"pantothenate kinase subunit, putative",0,0
Tb927.9.1530,"gene_product=hypothetical protein, conserved",3.8417,3.0501,666530,13.40984043,1.608856543,Tb927.9.1530:mRNA,"hypothetical protein, conserved",0,0
Tb927.8.5760,"gene_product=Ankyrin repeats (many copies)/Alpha/beta hydrolase family, putative",23.701,2.8209,1924200,14.47002085,1.496155524,Tb927.8.5760:mRNA,"Ankyrin repeats (many copies)/Alpha/beta hydrolase family, putative",1,0
Tb927.8.1720,"gene_product=phosphatidylglycerolphosphate synthase, mitochondrial",29.966,2.8026,1118700,13.92767785,1.486765851,Tb927.8.1720:mRNA,"phosphatidylglycerolphosphate synthase, mitochondrial",1,1
Tb927.9.4190,gene_product=fatty acyl CoA syntetase 1,14.47,2.6265,2349900,14.66988333,1.393141584,Tb927.9.4190:mRNA,fatty acyl CoA syntetase 1,0,0
Tb927.11.13730,gene_product=ornithine decarboxylase,2.4345,2.5873,728460,13.498688,1.371447346,Tb927.11.13730:mRNA,ornithine decarboxylase,0,0
Tb927.11.3270,"gene_product=squalene monooxygenase, putative",3.4748,2.5866,342740,12.74472742,1.371056968,Tb927.11.3270:mRNA,"squalene monooxygenase, putative",2,1
Tb927.11.4490,"gene_product=long-chain-fatty-acid-CoA ligase, putative",4.2637,2.5863,3058000,14.93327167,1.370889631,Tb927.11.4490:mRNA,"long-chain-fatty-acid-CoA ligase, putative",0,1
Tb927.10.190,"gene_product=40S ribosomal protein S6, putative",1.9298,2.5457,1583500,14.27514814,1.348062414,Tb927.10.190:mRNA,"40S ribosomal protein S6, putative",0,0
Tb927.9.5680,"gene_product=inositol/phosphatidylinositol phosphatase, putative",1.9932,2.517,860510,13.66528052,1.331705216,Tb927.9.5680:mRNA,"inositol/phosphatidylinositol phosphatase, putative",0,0
Tb927.11.14170,"gene_product=hypothetical protein, conserved",8.4083,2.5165,501610,13.1255782,1.331418598,Tb927.11.14170:mRNA,"hypothetical protein, conserved",1,1
Tb927.9.1780,"gene_product=sec1 family transport protein, putative",4.8222,2.3177,676080,13.42406669,1.212693838,Tb927.9.1780:mRNA,"sec1 family transport protein, putative",0,0
Tb927.11.12290,"gene_product=hypothetical protein, conserved",8.035,2.1871,863540,13.6687955,1.129019186,Tb927.11.12290:mRNA,"hypothetical protein, conserved",1,1
Tb927.11.6260,"gene_product=hypothetical protein, conserved",4.115,2.1631,200300,12.20757152,1.113100363,Tb927.11.6260:mRNA,"hypothetical protein, conserved",0,0
Tb927.6.1780,"gene_product=mitogen activated protein kinase 4, putative",2.2574,2.1478,581710,13.27372732,1.102859658,Tb927.6.1780:mRNA,"mitogen activated protein kinase 4, putative",0,0
Tb927.5.3400,gene_product=calcium-translocating P-type ATPase,6.4925,2.1096,565120,13.24479338,1.076969476,Tb927.5.3400:mRNA,calcium-translocating P-type ATPase,10,0
Tb927.11.3790,"gene_product=hypothetical protein, conserved",2.3594,2.099,1498800,14.22017535,1.069702167,Tb927.11.3790:mRNA,"hypothetical protein, conserved",0,0
Tb927.5.3120,"gene_product=eukaryotic translation initiation factor 2 beta subunit, putative",3.329,2.0568,3414100,15.04342447,1.040401515,Tb927.5.3120:mRNA,"eukaryotic translation initiation factor 2 beta subunit, putative",0,0
Tb927.10.2770,"gene_product=eukaryotic translation initiation factor 5, putative",22.219,2.0551,13253000,16.3997345,1.039208596,Tb927.10.2770:mRNA,"eukaryotic translation initiation factor 5, putative",0,0
Tb927.11.9230,"gene_product=hypothetical protein, conserved",6.3896,1.9829,668640,13.41300108,0.987611923,Tb927.11.9230:mRNA,"hypothetical protein, conserved",0,0
Tb927.10.3330,"gene_product=DDRGK domain containing protein, putative",13.773,1.9738,450140,13.01731392,0.980975813,Tb927.10.3330:mRNA,"DDRGK domain containing protein, putative",1,1
Tb927.5.1630,"gene_product=hypothetical protein, conserved",3.9295,1.9285,579480,13.26988643,0.947479146,Tb927.5.1630:mRNA,"hypothetical protein, conserved",1,1
Tb927.10.3890,"gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative",30.492,1.7617,12969000,16.37807245,0.816968269,Tb927.10.3890.1:mRNA,"phosphatidylinositol-4-phosphate 5-kinase, putative",0,0
Tb927.7.2190,"gene_product=translocon-associated protein (TRAP), alpha subunit, putative",5.9752,1.7362,4019600,15.20669295,0.795933147,Tb927.7.2190:mRNA,"translocon-associated protein (TRAP), alpha subunit, putative",2,1
Tb927.5.1060,"gene_product=mitochondrial processing peptidase, beta subunit, putative",20.805,1.7359,6400200,15.6718398,0.795683841,Tb927.5.1060:mRNA,"mitochondrial processing peptidase, beta subunit, putative",0,0
Tb927.10.8080,"gene_product=Uncharacterized conserved protein (DUF2042), putative",6.3947,1.7252,701300,13.46069103,0.786763621,Tb927.10.8080:mRNA,"Uncharacterized conserved protein (DUF2042), putative",0,0
Tb927.11.3980,"gene_product=metallo-peptidase, Clan ME, Family M16",24.733,1.6834,3573200,15.08897211,0.751378022,Tb927.11.3980:mRNA,"metallo-peptidase, Clan ME, Family M16",0,1
Tb927.1.3000,"gene_product=amidohydrolase, putative",7.1462,1.662,594760,13.29591324,0.732920382,Tb927.1.3000:mRNA,"amidohydrolase, putative",0,0
Tb927.8.2800,"gene_product=hypothetical protein, conserved",3.4557,1.615,510980,13.14408573,0.691534165,Tb927.8.2800:mRNA,"hypothetical protein, conserved",0,0
Tb927.11.15560,gene_product=Nucleoporin NUP53a,4.0174,1.6073,414950,12.93591331,0.684639231,Tb927.11.15560:mRNA,Nucleoporin NUP53a,0,0
Tb927.11.6080,"gene_product=hypothetical protein, conserved",7.3183,1.5929,5893000,15.58927576,0.671655699,Tb927.11.6080:mRNA,"hypothetical protein, conserved",0,0
Tb927.3.4630,"gene_product=UDP-glucose:glycoprotein glucosyltransferase, putative",39.782,1.5764,4734200,15.37032332,0.656633655,Tb927.3.4630:mRNA,"UDP-glucose:glycoprotein glucosyltransferase, putative",1,1
Tb927.10.13550,"gene_product=hypothetical protein, conserved",7.8321,1.5684,406640,12.91568355,0.649293547,Tb927.10.13550:mRNA,"hypothetical protein, conserved",0,0
Tb927.3.2900,gene_product=Eukaryotic translation initiation factor 2 subunit alpha,57.591,1.5614,8987800,16.01137866,0.642840175,Tb927.3.2900:mRNA,eukaryotic translation initiation factor 2 subunit alpha,0,0
Tb927.9.11250,gene_product=predicted WD40 repeat protein,2.7649,1.5598,652820,13.38905672,0.641361056,Tb927.9.11250:mRNA,predicted WD40 repeat protein,0,0
Tb927.5.3250,"gene_product=hypothetical protein, conserved",28.253,1.5567,2935000,14.89221801,0.638490942,Tb927.5.3250.1:mRNA,"hypothetical protein, conserved",0,0
Tb927.11.12410,gene_product=kinetoplastid kinetochore protein 10,6.9723,1.5541,699490,13.45810678,0.636079338,Tb927.11.12410:mRNA,kinetoplastid kinetochore protein 10,0,0
Tb927.10.11210,"gene_product=hypothetical protein, conserved",8.606,1.5395,707560,13.46957771,0.622461867,Tb927.10.11210:mRNA,"hypothetical protein, conserved",0,1
Tb927.3.1680,gene_product=Eukaryotic translation initiation factor 3 subunit F,42.369,1.5216,11415000,16.25043884,0.605589151,Tb927.3.1680:mRNA,Eukaryotic translation initiation factor 3 subunit F,0,0
Tb927.11.11980,gene_product=cytoskeleton-associated protein 15,3.7391,1.5216,548160,13.21432249,0.605589151,Tb927.11.11980:mRNA,cytoskeleton-associated protein 15,0,0
Tb927.10.3510,"gene_product=tRNA pseudouridine synthase D (TruD), putative",5.3871,1.516,1073000,13.88596902,0.600269754,Tb927.10.3510:mRNA,"tRNA pseudouridine synthase D (TruD), putative",0,1
Tb927.5.3360,"gene_product=50S ribosomal protein L2, putative",6.2334,1.5124,558890,13.23370795,0.596839754,Tb927.5.3360:mRNA,mitochondrial ribosomal protein L2,0,1
Tb927.10.13620,"gene_product=NADH-ubiquinone oxidoreductase complex I subunit,FT putative",13.015,1.5045,2423300,14.70064081,0.589284107,Tb927.10.13620:mRNA,nadh-ubiquinone oxidoreductase 39 kda subunit,0,0
Tb11.02.5400b,"gene_product=cystathionine beta-synthase, putative",45.755,1.5013,9856100,16.10360111,0.586212295,Tb11.02.5400b.1,"cystathionine beta-synthase, putative",0,0
Tb927.11.9750,"gene_product=Protein of unknown function (DUF498/DUF598), putative",11.112,1.4787,612790,13.32577758,0.564329387,Tb927.11.9750:mRNA,"Protein of unknown function (DUF498/DUF598), putative",0,0
Tb927.2.4000,"gene_product=hypothetical protein, conserved",7.7924,1.4782,1317800,14.09147424,0.563841479,Tb927.2.4000:mRNA,"hypothetical protein, conserved",0,0
Tb927.9.12750,"gene_product=hypothetical protein, conserved",6.7735,1.4706,650130,13.38492762,0.55640489,Tb927.9.12750:mRNA,"hypothetical protein, conserved",0,0
Tb927.1.4230,"gene_product=hypothetical protein, conserved",27.114,1.4616,2405000,14.69306046,0.547548539,Tb927.1.4230:mRNA,"hypothetical protein, conserved",0,0
Tb927.2.450,"gene_product=retrotransposon hot spot protein 4 (RHS4), putative",42.429,1.4614,2909600,14.88352617,0.547351112,Tb927.2.450:mRNA,"retrotransposon hot spot protein 4 (RHS4), putative",0,0
Tb927.11.7380,"gene_product=glycerol-3-phosphate dehydrogenase (FAD-dependent), mitochondrial",21.446,1.4498,4116100,15.23041667,0.535853894,Tb927.11.7380:mRNA,"glycerol-3-phosphate dehydrogenase (FAD-dependent), mitochondrial",0,1
Tb927.10.3970,"gene_product=hypothetical protein, conserved",11.866,1.4444,421280,12.95105297,0.530470325,Tb927.10.3970:mRNA,"hypothetical protein, conserved",0,0
Tb927.6.4500,"gene_product=conserved repeat domain containing protein, putative",11.85,1.4419,1295100,14.07409847,0.527971113,Tb927.6.4500:mRNA,"conserved repeat domain containing protein, putative",1,1
Tb927.7.7210,gene_product=Present in the outer mitochondrial membrane proteome 37,2.6881,1.4408,665610,13.40845919,0.526870086,Tb927.7.7210:mRNA,Present in the outer mitochondrial membrane proteome 37,0,0
Tb927.11.630,gene_product=RNA polymerase I second largest subunit,13.7,1.4358,880610,13.68837013,0.521854803,Tb927.11.630:mRNA,RNA polymerase I second largest subunit,0,0
Tb927.9.6910,"gene_product=hypothetical protein, conserved",8.1228,1.4345,746510,13.52316429,0.520547968,Tb927.9.6910:mRNA,"hypothetical protein, conserved",0,0
Tb927.11.6280,gene_product=pyruvate phosphate dikinase,240.18,1.4251,254110000,19.3532778,0.511063157,Tb927.11.6280:mRNA,pyruvate phosphate dikinase,0,0
Tb927.11.9890,"gene_product=signal recognition particle receptor alpha subunit, putative",29.133,1.4237,2920400,14.88723115,0.509645176,Tb927.11.9890:mRNA,"signal recognition particle receptor alpha subunit, putative",0,0
Tb927.5.4040,"gene_product=hypothetical protein, conserved",22.924,1.4174,743480,13.51909714,0.503246954,Tb927.5.4040:mRNA,"Mitochondrial SSU ribosomal protein, putative",0,0
Tb927.8.6060,"gene_product=glycine acetyltransferase, putative",21.88,1.4007,3342600,15.02225951,0.486147994,Tb927.8.6060:mRNA,"glycine acetyltransferase, putative",0,0
Tb927.10.15760,"gene_product=hypothetical protein, conserved",2.9503,1.4004,446580,13.00937383,0.485838967,Tb927.10.15760:mRNA,"hypothetical protein, conserved",0,0
Tb927.1.730,"gene_product=NADH-ubiquinone oxidoreductase complex I subunit, putative",2.6796,1.3999,252890,12.44070989,0.485323774,Tb927.1.730:mRNA,"NADH-ubiquinone oxidoreductase complex I subunit, putative",0,0
Tb927.6.5000,"gene_product=Protein of unknown function (DUF773), putative",8.4208,1.3987,604260,13.31175985,0.484086559,Tb927.6.5000:mRNA,"Protein of unknown function (DUF773), putative",0,0
Tb927.7.7450,"gene_product=GTP-binding protein, putative",8.7721,1.395,396310,12.88995201,0.480265122,Tb927.7.7450:mRNA,"GTP-binding protein, putative",0,0
Tb927.5.4560,"gene_product=guanine deaminase, putative",52.951,1.3914,3412900,15.04307293,0.476537226,Tb927.5.4560:mRNA,"guanine deaminase, putative",0,0
Tb927.6.1470,"gene_product=hypothetical protein, conserved",4.9315,1.3899,2267400,14.63414436,0.474981088,Tb927.6.1470:mRNA,"hypothetical protein, conserved",0,0
Tb927.8.7400,gene_product=RNA polymerase IIA largest subunit,6.2706,1.3878,1007400,13.82288331,0.472799672,Tb927.8.7400:mRNA,RNA polymerase IIA largest subunit,0,0
Tb927.2.4890,"gene_product=ribosomal protein L11, putative",5.062,1.3853,953880,13.76829316,0.47019844,Tb927.2.4890:mRNA,mitochondrial ribosomal protein l11,0,0
Tb927.11.360,"gene_product=ATP-binding protein, putative",4.4345,1.3825,176510,12.08113281,0.46727948,Tb927.11.360:mRNA,"ATP-binding protein, putative",0,0
Tb927.10.7440,gene_product=MTR4,18.822,1.3659,1774400,14.3889729,0.449851865,Tb927.10.7440:mRNA,ATP-dependent RNA helicase MTR4,0,0
Tb927.10.6260,"gene_product=ATP-dependent DEAD/H RNA helicase, putative",3.3041,1.3651,829350,13.62839754,0.449006639,Tb927.10.6260:mRNA,"ATP-dependent DEAD/H RNA helicase, putative",0,0
Tb927.5.3410,"gene_product=hypothetical protein, conserved",4.5133,1.3565,453630,13.02503717,0.439889048,Tb927.5.3410:mRNA,Mitochondrial ribosomal protein L9,0,0
Tb927.11.13190,"gene_product=elongation factor 1 gamma, putative",23.193,1.353,8370100,15.94017639,0.436161839,Tb927.11.13190:mRNA,"elongation factor 1 gamma, putative",0,1
Tb927.10.8290,gene_product=eukaryotic translation initiation factor 3 subunit c,7.6265,1.3523,1761300,14.38156273,0.435415241,Tb927.10.8290:mRNA,eukaryotic translation initiation factor 3 subunit c,0,0
Tb927.3.5500,"gene_product=DNA-directed RNA polymerase II subunit 3, putative",69.855,1.3498,56365000,17.84735896,0.432745659,Tb927.3.5500:mRNA,"DNA-directed RNA polymerase II subunit 3, putative",0,0
Tb927.11.6000,"gene_product=ribosomal protein L4/L1 family, putative",8.3691,1.338,1327800,14.099034,0.420078116,Tb927.11.6000:mRNA,mitochondrial ribosomal protein L4,0,1
Tb927.7.5920,"gene_product=mercaptopyruvate sulfurtransferase, putative",6.8521,1.3378,908790,13.71986932,0.41986245,Tb927.7.5920:mRNA,"mercaptopyruvate sulfurtransferase, putative",0,0
Tb927.11.14090,gene_product=Double RNA binding domain protein 18,9.4678,1.3326,2351000,14.67035133,0.414243799,Tb927.11.14090:mRNA,Double RNA binding domain protein 18,0,0
Tb927.8.1190,gene_product=eukaryotic translation initiation factor 3 subunit h,27.794,1.3242,6374600,15.6678319,0.405121035,Tb927.8.1190:mRNA,eukaryotic translation initiation factor 3 subunit h,0,0
Tb11.v5.0304,"gene_product=cation transporter, putative",2.7939,1.3161,350310,12.76657376,0.396269112,Tb11.v5.0304.1,"cation transporter, putative",1,0
Tb927.3.820,"gene_product=hypothetical protein, conserved",5.9842,1.3141,977070,13.79231358,0.394075066,Tb927.3.820:mRNA,"LSU ribosomal protein, mitochondrial, putative",0,0
Tb927.4.970,"gene_product=hypothetical protein, conserved",2.2575,1.3123,251520,12.43527779,0.392097567,Tb927.4.970:mRNA,"hypothetical protein, conserved",0,0
Tb927.3.3030,"gene_product=START domain containing protein, putative",1.6107,1.3107,586360,13.28168921,0.390337512,Tb927.3.3030:mRNA,"phosphatidylcholine transfer protein, putative",0,0
Tb927.7.1920,"gene_product=paraflagellar rod component, putative",19.85,1.3066,1578700,14.27211228,0.385817545,Tb927.7.1920:mRNA,"paraflagellar rod component, putative",0,0
Tb927.11.1250,"gene_product=Mitochondrial SSU ribosomal protein, putative",13.725,1.3034,2121600,14.56768108,0.3822799,Tb927.11.1250:mRNA,"Mitochondrial SSU ribosomal protein, putative",0,0
Tb927.9.12320,"gene_product=cystathione gamma lyase, putative",44.13,1.2995,7821400,15.87237412,0.377956634,Tb927.9.12320:mRNA,"cystathione gamma lyase, putative",0,0
Tb927.11.14100,gene_product=Double RNA-binding domain containing protein 4,41.387,1.2956,14016000,16.45571009,0.373620373,Tb927.11.14100:mRNA,Double RNA-binding domain containing protein 4,0,0
Tb927.11.8270,"gene_product=hypothetical protein, conserved",17.209,1.2939,835770,13.63610873,0.371726122,Tb927.11.8270:mRNA,"hypothetical protein, conserved",0,0
Tb927.3.2190,gene_product=Capping enzyme RNA triphosphatase 1,6.0264,1.2927,338550,12.73242707,0.370387504,Tb927.3.2190:mRNA,Capping enzyme RNA triphosphatase 1,0,0
Tb927.10.7380,"gene_product=hypothetical protein, conserved",28.194,1.2922,2078400,14.54710892,0.36982938,Tb927.10.7380:mRNA,"LSU ribosomal protein, mitochondrial, putative",0,0
Tb927.3.4060,"gene_product=asparagine synthase, putative",12.55,1.2892,1228900,14.02163002,0.366476094,Tb927.3.4060:mRNA,asparagine synthetase domain-containing protein 1,0,0
Tb927.11.480,"gene_product=small GTP-binding protein domain containing protein, putative",13.103,1.2853,1221700,14.01575389,0.362105136,Tb927.11.480:mRNA,"small GTP-binding protein domain containing protein, putative",0,0
Tb927.8.1980,gene_product=Beta propeller protein 1,33.544,1.2843,1407500,14.15732564,0.360982241,Tb927.8.1980:mRNA,Beta propeller protein 1,0,0
Tb927.4.3810,"gene_product=DNA-directed RNA polymerase II subunit 2, putative",113.31,1.2805,92366000,18.3412695,0.356707253,Tb927.4.3810:mRNA,"DNA-directed RNA polymerase II subunit 2, putative",0,0
Tb927.3.2470,"gene_product=pumilio RNA binding protein, putative",5.9575,1.2805,411550,12.9276858,0.356707253,Tb927.3.2470:mRNA,Pumilio homology domain family member 8,0,0
Tb927.9.11050,"gene_product=4E-interacting protein, putative",15.927,1.2773,808280,13.60266381,0.353097411,Tb927.9.11050:mRNA,"4E-interacting protein, putative",0,0
Tb927.10.14680,"gene_product=ribosome biogenesis protein, putative",2.7058,1.2773,449060,13.01491179,0.353097411,Tb927.10.14680:mRNA,"ribosome biogenesis protein, putative",0,0
Tb11.v5.0827,"gene_product=NUP-1 protein, putative",5.6956,1.2765,4457700,15.3101435,0.352193538,Tb11.v5.0827.1,"NUP-1 protein, putative",0,0
Tb927.7.4310,"gene_product=pyridine nucleotide-disulphide oxidoreductase, putative",13.074,1.2749,741080,13.51586386,0.35038409,Tb927.7.4310:mRNA,"pyridine nucleotide-disulphide oxidoreductase, putative",0,1
Tb927.2.340,"gene_product=retrotransposon hot spot protein 4 (RHS4), putative",39.621,1.2747,111360000,18.52827875,0.350157749,Tb927.2.340:mRNA,"retrotransposon hot spot protein 4 (RHS4), putative",0,0
Tb927.10.9780,"gene_product=ATP-dependent DEAD/H RNA helicase, putative",2.9125,1.2712,629190,13.35218856,0.34619103,Tb927.10.9780:mRNA,"ATP-dependent DEAD/H RNA helicase, putative",0,0
Tb927.7.1870,"gene_product=hypothetical protein, conserved",7.8646,1.2698,619920,13.33734572,0.344601283,Tb927.7.1870:mRNA,"hypothetical protein, conserved",0,0
Tb927.7.3960,"gene_product=50S ribosomal protein L16, putative",4.1099,1.264,734180,13.50650951,0.337996464,Tb927.7.3960:mRNA,Mitochondrial ribosomal protein L16,0,0
Tb927.1.1240,"gene_product=cytidine triphosphate synthase, putative",127.21,1.2623,18838000,16.75138666,0.336054824,Tb927.1.1240:mRNA,"cytidine triphosphate synthase, putative",0,0
Tb927.9.10100,"gene_product=hypothetical protein, conserved",31.134,1.2621,9879300,16.10595222,0.335826224,Tb927.9.10100:mRNA,"hypothetical protein, conserved",0,0
Tb927.4.1020,"gene_product=serine-palmitoyl-CoA transferase, putative",11.638,1.2619,2745100,14.82532806,0.335597588,Tb927.4.1020:mRNA,"serine-palmitoyl-CoA transferase, putative",1,1
Tb927.7.1620,"gene_product=Cleavage factor I 25 kDa subunit, putative",6.8297,1.2613,483070,13.08791685,0.334911461,Tb927.7.1620:mRNA,"Cleavage factor I 25 kDa subunit, putative",0,0
Tb927.11.6320,gene_product=MRB1-associated protein,25.76,1.2605,774130,13.5594951,0.333996118,Tb927.11.6320:mRNA,MRB1-associated protein,0,0
Tb927.8.7770,"gene_product=aldehyde dehydrogenase family, putative",21.78,1.2603,331020,12.70993408,0.333767192,Tb927.8.7770:mRNA,"aldehyde dehydrogenase family, putative",0,0
Tb927.2.5020,"gene_product=acyl-CoA oxidase, putative",8.4914,1.2596,695940,13.45301873,0.332965663,Tb927.2.5020:mRNA,"acyl-CoA oxidase, putative",0,0
Tb927.9.4310,"gene_product=tricarboxylate carrier, putative",19.354,1.2529,4709500,15.3650923,0.325271271,Tb927.9.4310:mRNA,"tricarboxylate carrier, putative",5,0
Tb927.2.5900,"gene_product=hypothetical protein, conserved",3.0193,1.252,215390,12.28020562,0.324234562,Tb927.2.5900:mRNA,"hypothetical protein, conserved",0,0
Tb927.10.11220,gene_product=procyclic form surface phosphoprotein,3.9464,1.252,1062000,13.87566448,0.324234562,Tb927.10.11220:mRNA,procyclic form surface phosphoprotein,2,0
Tb927.8.3610,"gene_product=AKAP7 2'5' RNA ligase-like domain containing protein, putative",45.558,1.2509,3744600,15.13582536,0.322966462,Tb927.8.3610:mRNA,"AKAP7 2'5' RNA ligase-like domain containing protein, putative",0,0
Tb927.7.6620,"gene_product=Probable N6-adenine methyltransferase, putative",3.7786,1.2502,720140,13.48720092,0.322158908,Tb927.7.6620.1:mRNA,"Probable N6-adenine methyltransferase, putative",0,0
Tb927.5.1700,"gene_product=replication Factor A 28 kDa subunit, putative",7.909,1.2496,1017600,13.83295747,0.321466359,Tb927.5.1700:mRNA,"replication Factor A 28 kDa subunit, putative",0,0
Tb927.10.6850,"gene_product=Mitochondrial ribosomal protein S18, putative",2.1306,1.2494,396060,12.88932099,0.321235435,Tb927.10.6850:mRNA,"Mitochondrial ribosomal protein S18, putative",0,0
Tb927.11.5990,"gene_product=hypothetical protein, conserved",6.8594,1.2485,745470,13.52177017,0.320195821,Tb927.11.5990:mRNA,"LSU ribosomal protein, mitochondrial, putative",0,0
Tb927.3.2330,gene_product=kinetoplastid kinetochore protein 17,5.0394,1.2472,634240,13.36018271,0.318692833,Tb927.3.2330:mRNA,kinetoplastid kinetochore protein 17,0,0
Tb927.11.16200,gene_product=cytoskeleton-associated protein 17,7.5323,1.246,1116800,13.92597801,0.317304068,Tb927.11.16200:mRNA,cytoskeleton-associated protein 17,0,0
Tb927.10.12840,gene_product=mitochondrial carrier protein,11.028,1.2404,5106200,15.44596605,0.310805431,Tb927.10.12840:mRNA,mitochondrial carrier protein,4,0
Tb927.10.4980,"gene_product=ubiquitin-like protein DSK2, putative",26.81,1.2376,1430500,14.17353459,0.307545102,Tb927.10.4980:mRNA,"ubiquitin-like protein DSK2, putative",0,0
Tb927.6.4200,"gene_product=hypothetical protein, conserved",12.138,1.236,2035100,14.52605552,0.305678743,Tb927.6.4200:mRNA,"LSU ribosomal protein, mitochondrial, putative",0,0
Tb927.8.5820,"gene_product=Las1-like, putative",3.3961,1.2358,394440,12.88522232,0.305445279,Tb927.8.5820:mRNA,"Las1-like, putative",0,0
Tb927.11.12820,gene_product=ribonucleoside-diphosphate reductase small chain,33.422,1.2346,1837900,14.42413417,0.304043696,Tb927.11.12820:mRNA,ribonucleoside-diphosphate reductase small chain,1,0
Tb927.10.14140,gene_product=pyruvate kinase 1,16.945,1.2342,1031600,13.84662155,0.3035762,Tb927.10.14140:mRNA,pyruvate kinase 1,0,0
Tb927.11.10320,"gene_product=TatD related DNase, putative",1.3736,1.2327,343440,12.7467677,0.301821736,Tb927.11.10320:mRNA,"TatD related DNase, putative",0,0
Tb927.3.3520,gene_product=Present in the outer mitochondrial membrane proteome 25,5.1264,1.232,322390,12.68351727,0.301002256,Tb927.3.3520:mRNA,Present in the outer mitochondrial membrane proteome 25,0,0
